页序,词条,繁体异体,拼音,字级,笔画数,释义
373/L-07,纰,（紕）,pī,二级,7,布帛丝缕等破坏散开。//［纰漏］因疏忽而引起的错误。//［纰缪］（–miù）错误。
373/L-08,砒,,pī,二级,9,❶“砷”（shēn）的旧称。//❷砒霜，砷的氧化物，有剧毒，可做杀虫剂。
373/R-01,𬬫,（鈚）,pī,,9,𬬫箭，古代的一种箭。
373/R-02,披,,pī,一级,8,❶覆盖在肩背上：～红|～着大衣|～星戴月（形容起早贪黑辛勤劳动或昼夜赶路）。//❷打开：～襟|～卷（juàn）|～肝沥胆（比喻竭诚效忠）。//［披露］（–lù）发表。//［披靡］（–mǐ）草木随风散倒。〖喻〗敌军溃散：所向～。//❸裂开：竹竿～了|指甲～了。//❹劈开，劈去：～荆斩棘（比喻克服前进中的种种困难）。
373/R-03,劈,,pī,一级,15,❶用刀斧等破开：～木头。//❷冲着，正对着：～脸|大雨～头浇下来。//❸雷电毁坏或击中：大树让雷～了。//❹尖劈，简单机械，由两斜面合成，刀、斧等都属于这一类。//另见pǐ。
373/R-04,噼,,pī,二级,16,［噼啪］拟声词，形容拍打声、爆裂声。也作“劈啪”。
373/R-05,霹,,pī,一级,21,［霹雳］（–lì）响声很大的雷，是云和地面之间强烈的雷电现象。
373/R-06,皮,,pí,一级,5,❶人和动植物体表面的一层组织：牛～|树～|荞麦～|碰破了点儿～。//❷皮革：～包|～箱|～鞋。//❸表面：地～|水～儿。//❹包在外面的东西：书～|封～。//❺薄片状的东西：铅～|粉～|海蜇～。//❻韧性大，不松脆：～糖|饼～了。//❼顽皮，淘气：这孩子真～。//❽〖外〗法定计量单位中十进分数单位词头之一，表示10-12，符号p。
374/L-01,陂,,pí,二级,7,［黄陂］地名，在湖北省武汉。//另见bēi；pō。
374/L-02,铍,（鈹）,pí,二级,10,金属元素，符号Be，原子序数4。钢灰色，铍铝合金质硬而轻。可用来制飞机机件等，也用于核工业。
374/L-03,疲,,pí,一级,10,身体感觉劳累（〖连〗–乏、–倦）：精～力尽|～于奔命。//［疲癃］（–lóng）衰老多病。//［疲沓］（※疲塌）（–ta）懈怠，不起劲：作风～|消除工作中的～现象。
374/L-04,鲏,（鮍）,pí,三级,13,见“鳑”字条“鳑鲏”（páng–）。
374/L-05,芘,,pí,三级,7,［芘芣］（–fú）古书上指锦葵。//另见bǐ。
374/L-06,枇,,pí,二级,8,［枇杷］（–pa）常绿乔木，叶长椭圆形，花白色。果实也叫枇杷，圆球形，黄色，味甜。叶可入药。
374/L-07,毗,（*毘）,pí,二级,9,❶辅佐。//❷接连：～连|～邻。
374/R-01,蚍,,pí,二级,10,［蚍蜉］（–fú）一种大蚂蚁。
374/R-02,琵,,pí,二级,12,［琵琶］（–pa）弦乐器，用木做成，下部长圆形，上有长柄，有四根弦。
374/R-03,貔,,pí,二级,17,传说中的一种野兽，似熊。//［貔貅］（–xiū）传说中的一种猛兽。〖喻〗勇猛的军队。
374/R-04,郫,,pí,二级,10,用于地名：～都（在四川省）。
374/R-05,陴,,pí,三级,10,城墙上呈形的矮墙。
374/R-06,埤,,pí,二级,11,〈古〉增加：～益。//另见pì。
374/R-07,啤,,pí,一级,11,〖外〗指啤酒，用大麦等做主要原料制成的酒：生～|鲜～。
374/R-08,脾,,pí,一级,12,脾脏，人和高等动物的内脏之一，椭圆形，赤褐色，是个淋巴器官，也是血库。（图见“人体内脏”）［脾气］（–qi）1.性情：～好。2.容易发怒的性情：有～|发～。//［脾胃］借指对事物好恶（wù）的习性：不合他的～|两人～相投。
374/R-09,裨,,pí,二级,13,副，辅佐的（〖连〗偏–）：～将。//另见bì。
375/L-01,蜱,,pí,二级,14,节肢动物，身体扁平，种类很多，大部分以吸血为生。对人畜和农作物有害。
375/L-02,鼙,,pí,二级,21,古代军中用的一种鼓：～鼓。
375/L-03,罴,（羆）,pí,二级,14,熊的一种，即棕熊，又叫马熊，毛棕褐色，能爬树，会游泳。
375/L-04,匹,（①*疋）,pǐ,一级,4,❶量词。1.用于骡、马等：三～马。2.用于整卷的布或绸缎等：一～红布。//❷相当，相敌，比得上。//［匹敌］彼此相当。//［匹配］1.婚配。2.（元器件等）配合。
375/L-05,苉,,pǐ,三级,7,有机化合物，存在于煤焦油中。
375/L-06,庀,,pǐ,,5,❶具备。//❷治理。
375/L-07,圮,,pǐ,二级,6,坍塌，倒塌：倾～。
375/L-08,仳,,pǐ,三级,6,［仳离］夫妻离散。
375/L-09,否,,pǐ,一级,7,❶恶，坏：～极泰来（坏的到了尽头，好的就来了。否和泰都是《周易》六十四卦中的卦名，分别代表坏和好的事情）。//❷贬斥：臧（zāng）～人物（评论人物的优劣）。//另见fǒu。
375/R-01,痞,,pǐ,二级,12,❶痞块，中医指肚子里可以摸得到的硬块。//❷（–子）流氓，无赖：地～|～棍。
375/R-02,嚭,（**噽）,pǐ,三级,19,大。
375/R-03,劈,,pǐ,一级,15,分开：～柴|～成两份儿|～一半给你。//另见pī。
375/R-04,擗,,pǐ,,16,分裂，使从原物体上分开：～棒子（玉米）。
375/R-05,癖,,pǐ,二级,18,对事物的特别爱好：烟～|洁～|怪～|嗜酒成～。
375/R-06,屁,,pì,一级,7,从肛门排出的臭气。
375/R-07,媲,,pì,二级,13,并，比：～美。
375/R-08,埤,,pì,二级,11,［埤堄］（–nì）古代指城上的矮墙。也作“埤另见pí。
375/R-09,睥,,pì,二级,13,［睥睨］（–nì）眼睛斜着看。引看不起：～一切。
375/R-10,淠,,pì,二级,11,淠河，水名，在安徽省西部。
375/R-11,辟,（①—③闢）,pì,一级,13,❶开辟，从无到有地开发建设：开天～地|这一带将～为开发区。//❷驳斥，排除：～谣|～邪说。//❸透彻：精～。//❹法，法律。//［大辟］古代指死刑。//另见bì。
376/L-01,僻,,pì,一级,15,❶偏僻，距离中心地区远的：～静|穷乡～壤。//❷不常见的：冷～|生～字。//❸性情古怪，不合群（〖连〗乖–）：孤～|怪～。
376/L-02,澼,,pì,三级,16,见“洴”字条“洴澼”（píng–）。
376/L-03,甓,,pì,三级,17,砖。
376/L-04,䴙,（鸊）,pì,三级,18,［䴙䴘］（–tī）鸟名，略像鸭而小，羽毛黄褐色。
376/L-05,譬,,pì,一级,20,打比方（〖连〗–喻、–如）。
376/L-06,片,,piān,一级,4,（–子、–儿）义同“片（piàn）❶”，用于“拍片子、相片儿、画片儿、唱片儿、电影片儿”等。//另见piàn。
376/L-07,扁,,piān,一级,9,［扁舟］小船：一叶～。//另见biǎn。
376/L-08,偏,,piān,一级,11,❶歪，不在中间：镜子挂～了|太阳～西了。引不全面，不正确：～于一端|～听～信|～差（chā）。//［偏向］1.无原则地支持，袒护：妈妈总是～弟弟。2.不正确的倾向：纠正～。//❷副词，表示跟愿望、预料或一般情况不相同（叠）：不让他干，他～干|我去看他，～～他没在家。
376/R-01,犏,,piān,二级,13,犏牛，牦牛和黄牛杂交生的牛。
376/R-02,篇,,piān,一级,15,❶首尾完整的文章（〖连〗–章）：名～。//❷（–儿）量词。1.用于文章：一～论文。2.用于纸张、书页（一篇是两页）。//［篇幅］文章的长短，书籍报刊篇页的数量：～不长|～太大。
376/R-03,翩,,piān,一级,15,很快地飞。//［翩翩］轻快地飞舞的样子：舞姿～。形容风流潇洒：风度～。//［翩跹］（–xiān）形容轻快地跳舞：～起舞。
376/R-04,便,,pián,一级,9,［便便］（肚子）肥大的样子：大腹～。//［便宜］（–yi）物价较低：这些花布都很～。引不应得的利益：不要占～。（另biànyí，见“便”biàn）另见biàn。
376/R-05,㛹,,pián,三级,12,［㛹娟］1.美好的样子。2.回环曲折的样子。
376/R-06,楩,,pián,三级,13,❶古书上说的一种树。//❷用于地名：～树岔（在福建省福鼎）。
376/R-07,骈,（駢）,pián,二级,9,两物并列成双的，对偶的（〖连〗–俪）：～句。//［骈文］旧时的一种文体，文中用对偶的句子，讲究声韵和谐，辞藻华丽。
377/L-01,胼,,pián,二级,10,［胼胝］（–zhī）俗叫膙（jiǎng）子。手上、脚上因摩擦而生成的硬皮。
377/L-02,蹁,,pián,二级,16,［蹁跹］（–xiān）形容旋转舞动。
377/L-03,谝,（諞）,piǎn,二级,11,显示，夸耀：～能。
377/L-04,𡎚,,piǎn,三级,12,用于地名：长河～（在四川省安岳）。
377/L-05,片,,piàn,一级,4,❶（–子、–儿）平而薄的物体：明信～|铁～|玻璃～|肉～。//❷切削成薄片：～肉片|把豆腐干～一～。//❸指影视片：～头|科教～。//❹少，零星：～言（几句话）|～纸只（zhī）字|～刻（短时间）。//［片面］不全面，偏于一面的：观点～|不要～看问题。//❺指较大地区内划分的较小地区：分～儿开会。//❻量词。1.用于地面、水面或成片的东西等：一大～绿油油的庄稼|一～汪洋|两～儿药。2.用于景色、气象、声音、语言、心意等（前面用“一”字）：一～欢呼声|一～好心。//另见piān。
377/L-06,骗,（騙）,piàn,一级,12,❶欺蒙（〖连〗欺–）：～人|诈～。//❷用欺蒙的手段谋得（〖连〗诓–）：～钱|～取信任。//❸侧身抬腿跨上：一～腿骑上自行车。
377/R-01,剽,,piāo,二级,13,❶抢劫，掠夺（〖连〗–掠）。//［剽窃］抄袭他人作品等。//❷轻快而敏捷：～悍。
377/R-02,漂,,piāo,一级,14,浮在液体上面不沉下去：树叶在水上～着。//［漂泊］（–bó）〖喻〗为了生活、职业而流浪奔走：～在外。//另见piǎo；piào。
377/R-03,慓,,piāo,,14,同“剽❷”。
377/R-04,缥,（縹）,piāo,二级,14,［缥缈］（–miǎo）形容隐隐约约，若有若无：山在虚无～间。也作“飘渺”。//另见piǎo。
377/R-05,飘,（飄、*飃）,piāo,一级,15,随风飞动或摆动：～雪花|～起了炊烟|～扬|红旗～～。//［飘零］花瓣、树叶等坠落。〖喻〗流落在外，无依无靠：～异乡|半世～。//［飘摇］（※飘飖）（–yáo）随风摆动：烟云～上升。
378/L-01,薸,,piāo（又）,三级,17,见piáo。
378/L-02,螵,,piāo,二级,17,［螵蛸］（–xiāo）螳螂的卵块。
378/L-03,朴,,piáo,一级,6,姓。//另见pō；pò；pǔ。
378/L-04,嫖,（**闝）,piáo,二级,14,男子玩弄妓女：～娼。
378/L-05,瓢,,piáo,一级,16,（–儿）舀（yǎo）水或取东西的用具，多用瓢葫芦或木头制成。
378/L-06,薸,,piáo 又 piāo,三级,17,［大薸］水草，又叫水浮莲，叶子可用作猪饲料。
378/L-07,莩,,piǎo,二级,10,同“殍”。//另见fú。
378/L-08,殍,,piǎo,二级,11,饿死的人：饿～。也作“莩”。
378/L-09,漂,,piǎo,一级,14,❶用水加药品使东西退去颜色或变白：～白。//❷用水淘去杂质：用水～一～|～朱砂。//另见piāo；piào。
378/L-10,缥,（縹）,piǎo,二级,14,❶青白色。//❷青白色丝织品。//另见piāo。
378/R-01,瞟,,piǎo,二级,16,斜着眼看一下：～了他一眼。
378/R-02,票,,piào,一级,11,❶（–子、–儿）钞票，纸币。//❷印的或写的凭证：车～|股～|选～。//❸称非职业的演戏：～友|玩儿～。//❹（–儿）被绑匪挟（xié）持借以勒取赎金的人质：绑～儿|撕～儿（指杀死人质）。
378/R-03,蔈,,piào,三级,14,用于地名：～草镇（在重庆市云阳）。
378/R-04,嘌,,piào,二级,14,［嘌呤］（–lìng）有机化合物，无色晶体，易溶于水，在人体内嘌呤氧化而变成尿酸。
378/R-05,漂,,piào,一级,14,［漂亮］（–liang）1.美，好看。2.出色：活儿干得很～。//另见piāo；piǎo。
378/R-06,骠,（驃）,piào,二级,14,❶勇猛：～勇。//❷马快跑的样子。//［骠骑］古代将军的名号：～将军。//另见biāo。
378/R-07,氕,,piē,三级,5,氢的同位素之一，符号1H，质量数1，是氢的主要成分。
379/L-01,撇,,piē,一级,14,❶丢开，抛弃：～开|～弃。//［撇脱］〈方〉1.简便。2.爽快，洒脱。//❷由液体表面舀（yǎo）取：～油。//另见piě。
379/L-02,瞥,,piē,二级,16,很快地大略看一下：朝他～了一眼。
379/L-03,苤,,piě,二级,8,［苤蓝］（–lan）草本植物，甘蓝的一种，叶有长柄。茎扁球形，也叫苤蓝，可用作蔬菜。
379/L-04,撇,,piě,一级,14,❶平着向前扔：～球|向水面～石头子儿。//❷（–儿）汉字从上向左斜下写的一种笔形（丿）：八字先写一～儿。//❸（–儿）量词，用于像汉字的撇形的东西：两～儿胡子。//另见piē。
379/L-05,𬭯,（䥕）,piě,三级,16,烧盐用的敞口锅。用于地名：曹～（在江苏省东台）。
379/L-06,拼,,pīn,一级,9,❶连合，凑合（〖连〗–凑）：～音|东～西凑|把两块板子～起来。引几个人合起来做某事（费用常分摊）：～车|～购。//❷不顾一切地干，豁（huō）出去：～命|～到底。//❸比拼，较量：～实力|～技术。
379/R-01,姘,,pīn,二级,9,一方或双方已婚的、非夫妻关系的男女非法同居：～夫|～妇。
379/R-02,玭,,pín,二级,8,珍珠。
379/R-03,贫,（貧）,pín,一级,8,❶穷，收入少，生活困难，跟“富”相对（〖连〗–穷）：～困|清～。//❷缺乏，不足（〖连〗–乏）：～血。//❸絮烦可厌：他的嘴太～。
379/R-04,频,（頻）,pín,一级,13,屡次，连次（〖连〗–繁、–数shuò）（叠）：～～招手|捷报～传。//［频率］（–lǜ）在一定的时间或范围内事物重复出现的次数。
379/R-05,𬞟,（蘋）,pín,三级,16,蕨类植物，又叫田字草，茎横卧在浅水的泥中，四片小叶，像“田”字。“蘋”另见píng“苹”。
379/R-06,颦,（顰）,pín,二级,21,皱眉头。//［效颦］转模仿他人而不得当。
379/R-07,嫔,（嬪）,pín,二级,13,封建时代皇宫里的女官。
379/R-08,品,,pǐn,一级,9,❶物品，物件：～名|商～|赠～|非卖～。//［品牌］产品的牌子，特指知名产品的牌子：～效应。//❷等级，种类：上～|下～|精～。//❸性质：人～|～质。//❹辨别好坏、优劣等：～茶|我～出他的为人来了。
380/L-01,榀,,pǐn,,13,量词，房架一个叫一榀。
380/L-02,牝,,pìn,二级,6,雌性的（鸟兽），跟“牡”相对：～鸡|～马。
380/L-03,聘,,pìn,一级,13,❶请人担任工作：～书|～请|～他当编辑。//❷指女子订婚或出嫁：行～|出～。
380/L-04,乒,,pīng,一级,6,❶拟声词，形容枪声或物体撞击声：～的一声枪响。//❷指乒乓球：～协|～坛。//［乒乓］1.拟声词，形容物体撞击声：雹子打在玻璃上～乱响。2.指乒乓球。
380/L-05,俜,,pīng,三级,9,见“伶”字条“伶俜”（líng–）。
380/L-06,涄,,pīng,三级,10,水流的样子。
380/L-07,娉,,pīng,二级,10,［娉婷］（–tíng）形容女子姿态美好的样子。
380/L-08,平,,píng,一级,5,❶不倾斜，无凹凸，像静止的水面那样：～地|把纸铺～了。引均等：～分|公～。//❷使平：把地～一～。//❸安定，安静：～心静气|风～浪静。//❹经常的，一般的：～日|～淡。//❺平声，汉语四声之一。普通话的平声分阴平和阳平两类：阴平调子高而平，符号作“ˉ”；阳平调子向高扬起，符号作“ˊ”。
380/R-01,评,（評）,píng,一级,7,议论或评判（〖连〗–论、–议）：～语|～理|～比|～阅。引指评论的话或文章：书～|短～。//［评价］对事物估定价值：客观～|予以新的～。//［评介］评论介绍。//［评判］判定胜负或优劣等。//［批评］1.指出工作、思想、作风等上的错误或缺点：～与自我～|～了保守思想。2.评论：文学～。
380/R-02,坪,,píng,一级,8,平坦的场地：草～|～坝|停机～。
380/R-03,苹,（△蘋）,píng,一级,8,［苹果］落叶乔木，叶椭圆形，花白色，果实也叫苹果，球形，红色、青色或黄色，味甜或略酸。“蘋”另见pín“”。
380/R-04,泙,,píng,三级,8,❶河谷。//❷姓。
380/R-05,玶,,píng,三级,9,一种玉。
380/R-06,枰,,píng,二级,9,棋盘：棋～|推～认输。
380/R-07,萍,,píng,一级,11,浮萍，草本植物，浮生在水面，茎扁平像叶子，根垂在水里：～踪（比喻漂泊不定的行踪）|～水相逢（比喻向来不认识的人偶然遇见）。
381/L-01,蚲,,píng,三级,11,古书上指米中的小黑虫。
381/L-02,鲆,（鮃）,píng,二级,13,鱼名，身体侧扁，两眼都在身体的左侧，有眼的一侧灰褐色或深褐色，无眼的一侧白色。常见的有牙鲆、斑鲆等。
381/L-03,凭,（憑、*凴）,píng,一级,8,❶靠着：～栏|～几（jī）。//❷依靠，仗恃：劳动人民～着双手创造世界|光～武器不能打胜仗。//❸证据（〖连〗–证、–据）：真～实据|口说无～。//❹介词，根据：～票入场|～大家的意见做出决定。//❺连词，任凭，无论：～你怎么说，我也不信。
381/L-04,荓,,píng,三级,9,古书上指马蔺（一种草本植物）。
381/L-05,帡,,píng,三级,9,［帡幪］（–méng）古代称帐幕等覆盖用的东西。
381/L-06,洴,,píng,三级,9,［洴澼］（–pì）漂洗（丝绵）。
381/L-07,屏,,píng,一级,9,❶遮挡，遮挡物：～藩|～蔽|～障|～风（挡风或阻隔视线用的家具）|围～。//❷字画的条幅，通常以四幅或八幅为一组：四扇～。//❸屏幕：银～。//［刷屏］某信息短时间内在手机或电脑屏幕上大量出现。//另见bǐng。
381/R-01,瓶,（*缾）,píng,一级,10,（–子、–儿）口小腹大的器皿，多为瓷或玻璃做成，通常用来盛液体：酒～子|花～儿|一～子油。
381/R-02,朴,,pō,一级,6,［朴刀］旧式兵器，刀身狭长，刀柄略长，双手使用。//另见piáo；pò；pǔ。
381/R-03,钋,（釙）,pō,二级,7,放射性金属元素，符号Po，原子序数84。
381/R-04,陂,,pō,二级,7,［陂陀］（–tuó）不平坦。
381/R-05,坡,,pō,一级,8,（–子、–儿）倾斜的地方：山～|高～|上～|下～。//［坡度］斜面与地平面所成的角度。
381/R-06,颇,（頗）,pō,一级,11,❶偏，不正：偏～。//❷副词，很，相当地：离别～久|～为不易。
382/L-01,泊,,pō,一级,8,湖：湖～|血～（一大摊血）。//另见bó。
382/L-02,泺,（濼）,pō,二级,8,古同“泊”，湖泊。//另见luò。
382/L-03,泼,（潑）,pō,一级,8,❶猛力倒液体等使散开：～水|～街。//❷野蛮，不讲理：撒（sā）～。//［泼辣］凶悍。转有魄力，不怕困难：他做事很～。
382/L-04,䥽,（鏺）,pō,二级,10,〈方〉//❶用镰刀、钐（shàn）刀等抡开来割（草、谷物等）。//❷一种镰刀。
382/L-05,酦,（醱）,pō,三级,12,在原酒的基础上再酿（酒）。
382/L-06,婆,,pó,一级,11,年老的妇人（叠）：老太～|苦口～心。引1.丈夫的母亲（叠）。2.祖母（叠）。//［婆娑］（–suō）1.盘旋舞蹈的样子：～起舞。2.树枝纷披的样子：杨柳～。3.泪水下滴的样子：泪眼～。
382/L-07,鄱,,pó,二级,14,［鄱阳］1.湖名，在江西省北部。2.地名，在江西省。
382/L-08,皤,,pó,二级,17,形容白色：须发～然。
382/L-09,繁,,pó,一级,17,姓。//另见fán。
382/R-01,叵,,pǒ,二级,5,副词，不可：～信|居心～测。
382/R-02,钷,（鉕）,pǒ,三级,10,放射性金属元素，符号Pm，原子序数61。
382/R-03,笸,,pǒ,二级,11,［笸箩］（–luo）盛谷物等的一种器具，用柳条或篾条编成。
382/R-04,朴,,pò,一级,6,朴树，落叶乔木，花淡黄色。木材可制家具。//［厚朴］落叶乔木，花白色。树皮厚，可入药。//另见piáo；pō；pǔ。
382/R-05,迫,（*廹）,pò,一级,8,❶用强力压制，硬逼（〖连〗逼–）：～害|饥寒交～|被～同意。//❷急促（〖连〗急–）：～切|从容不～|～不及待。//❸接近：～近。//另见pǎi。
382/R-06,珀,,pò,二级,9,见“琥”字条“琥珀”（hǔ–）。
382/R-07,粕,,pò,二级,11,米渣滓。参看“糟❶［糟粕］”。
382/R-08,魄,,pò,一级,14,❶迷信指依附形体而存在的精神（〖连〗魂–）：失魂落～。//❷精神，精力：气～|体～|～力。
382/R-09,破,,pò,一级,10,❶碎，不完整：碗打～了|衣服～了|手～了|牢不可～。//［破绽］（–zhàn）衣服的裂口，比喻做事或说话的漏洞：他话里有～。//❷分裂（〖连〗–裂）：势如～竹|一～两半。引化整为零：一百块钱～成两张五十的。//❸使损坏（〖连〗–坏）：～釜沉舟。〖喻〗破除，批判：～旧立新|不～不立。//❹超出：～例|～格|打～纪录|突～定额。//❺冲开，打败：～阵|大～敌军。//❻揭穿：～案|说～|～除迷信。//❼花费，耗费：～费|～工夫。//［破产］企业或个人处于不能偿还债务的状态。引丧失全部财产。〖喻〗失败，破灭：敌人的阴谋～了。//❽不好的，令人鄙视的：～戏|～货|这样的～差事谁也不愿意干。
383/L-01,桲,,po,三级,11,见“榅”字条“榅桲”（wēn–）。//另见bó。
383/L-02,剖,,pōu,一级,10,❶破开（〖连〗解–）：把瓜～开。//［剖面］东西切开后现出的平面：横～|纵～。//❷分析，分辨：～析|～明事理。
383/L-03,抔,,póu,二级,7,❶用手捧东西：～饮（两手捧起而饮）。//❷量词，把，捧：一～土。
383/L-04,裒,,póu,二级,12,❶聚。//❷减少：～多益寡（减有余，补不足）。
383/R-01,掊,,pǒu,二级,11,掊击，抨击。
383/R-02,仆,,pū,一级,4,向前跌倒：前～后继。//另见pú。
383/R-03,扑,（撲）,pū,一级,5,❶轻打，拍：～粉|～打～打衣服上的土。//❷冲：向敌人猛～|香气～鼻。//［扑哧］拟声词，形容笑声或水、气挤出来的声音。
383/R-04,铺,（鋪）,pū,一级,12,把东西散开放置，平摆：～轨|平～直叙（说话作文简单直接地叙述，没有精彩处）|解放思想，为改革开放～平道路。//［铺张］为了在形式上好看而多用人力物力：反对～浪费。//另见pù。
383/R-05,噗,,pū,二级,15,拟声词，形容水或气喷出的声音：～的一声吹灭了蜡烛。//［噗嗤］（–chī）同“扑哧”。
383/R-06,潽,,pū,三级,15,液体沸腾溢出：牛奶～出来了。
383/R-07,仆,（僕）,pú,一级,4,❶被雇到家里做杂事、供役使的人：～人|女～。//［仆从］旧时指跟随在身边的仆人。〖喻〗受人控制并追随别人的：～国。//❷旧时男子谦称自己。//另见pū。
384/L-01,匍,,pú,二级,9,［匍匐］（–fú）爬，手足并行：～前进。也作“匍伏”。
384/L-02,葡,,pú,一级,12,［葡萄］（–tao）藤本植物，茎有卷须，叶掌状分裂，花黄绿色，果实也叫葡萄，圆形或椭圆形，可以吃，也可酿酒。
384/L-03,莆,,pú,二级,10,［莆田］地名，在福建省。
384/L-04,脯,,pú,一级,11,（–子、–儿）胸脯，胸部：鸡～子。//另见fǔ。
384/L-05,蒱,,pú,三级,13,见“摴”字条“摴蒱”（chū–）。
384/L-06,蒲,,pú,一级,13,香蒲，草本植物，生长在浅水或池沼中，叶长而尖。可用来编席、蒲包和扇子：～扇。
384/L-07,酺,,pú,三级,14,古代指朝廷特许的聚会饮酒，也泛指聚会饮酒。
384/L-08,菩,,pú,一级,11,［菩萨］（–sà）梵语音译“菩提萨埵（duǒ）”的省称。佛教中指地位仅次于佛的人，泛指佛和某些神。
384/L-09,墣,,pú,三级,15,土块。
384/R-01,璞,,pú,二级,16,含玉的石头或没有雕琢过的玉石：～玉浑金（比喻品质好）。
384/R-02,镤,（鏷）,pú,三级,17,放射性金属元素，符号Pa，原子序数91。
384/R-03,穙,,pú,三级,17,❶谷类作物堆积。//❷禾或草等稠密。
384/R-04,濮,,pú,二级,17,❶［濮阳］地名，在河南省。//❷姓。
384/R-05,朴,（樸）,pǔ,一级,6,没有细加工的木料。〖喻〗朴实，朴素：俭～|质～。//另见piáo；pō；pò。
384/R-06,埔,,pǔ,二级,10,［黄埔］地名，在广东省广州。//另见bù。
384/R-07,圃,,pǔ,一级,10,种植蔬菜、花草、瓜果的园子：花～|苗～。
384/R-08,浦,,pǔ,一级,10,水边或河流入海的地区。
384/R-09,溥,,pǔ,二级,13,❶广大。//❷普遍。
384/R-10,普,,pǔ,一级,12,普遍，全，全面：～查|～天同庆。//［普及］传布和推广到各方面：～教育。//［普通］通常，一般：～人|～读物。//［普米族］我国少数民族，参看附表。
384/R-11,谱,（譜）,pǔ,一级,14,❶依照事物的类别、系统编制的表册：年～|家～（记载家族世系的表册）|食～。//❷记录音乐、棋局等的符号或图形：歌～|乐～|棋～。//❸编写歌谱：～曲。//❹（–儿）大致的准则，把握：他做事有～儿。
385/L-01,氆,,pǔ,二级,16,［氆氇］（–lu）（藏）藏族地区出产的一种毛织品。
385/L-02,镨,（鐠）,pǔ,三级,17,金属元素，符号Pr，原子序数59。淡黄色，它的化合物多呈绿色，可用作颜料等。
385/L-03,蹼,,pǔ,二级,19,青蛙、乌龟、鸭子、水獭等动物脚趾之间的膜，也指像蹼的用具：脚～|～泳。
385/L-04,铺,（鋪、*舖）,pù,一级,12,❶（–子、–儿）商店：饭～|杂货～。//❷床（〖连〗床–）：上下～|临时搭～。//❸旧时的驿站。现多用于地名：三十里～。//另见pū。
385/L-05,堡,,pù,一级,12,旧时的驿站。现多用于地名：十里～。//另见bǎo；bǔ。
385/L-06,暴,,pù,一级,15,晒，晒干。后作“曝”（pù）。//另见bào。
385/L-07,瀑,,pù,一级,18,瀑布，水从高山上陡直地流下来，远看好像垂挂着的白布。//另见bào。
385/R-01,曝,,pù,一级,19,晒：一～十寒（比喻没有恒心）。//另见bào。
385/R-02,七,,qī,一级,2,六加一后所得的数目。
385/R-03,柒,,qī,一级,9,“七”字的大写。
385/R-04,沏,,qī,二级,7,用开水冲茶叶等：～茶。
385/R-05,妻,,qī,一级,8,（–子）男子的配偶，跟“夫”相对。//另见qì。
385/R-06,郪,,qī,三级,10,郪江，水名，在四川省东部，涪（fú）江支流。
385/R-07,凄,（①③*淒、②*悽）,qī,一级,10,❶寒凉：～风苦雨。//❷悲伤（〖连〗–惨）。//❸冷落寂静：～清|～凉。
385/R-08,萋,,qī,二级,11,［萋萋］形容草生长得茂盛：芳草～。
385/R-09,栖,（*棲）,qī,一级,10,鸟停留在树上。引居住，停留：两～|～身之处。//［栖霞］地名，在山东省。//另见xī。
386/L-01,桤,（榿）,qī,二级,10,桤木，落叶乔木，木质轻软，可制器具，嫩枝叶可入药。
386/L-02,戚,（②*慽、②*慼）,qī,一级,11,❶亲戚，因婚姻或血统联成的关系。//❷忧愁，悲哀：休～相关。//［戚戚］忧愁的样子：君子坦荡荡，小人长～。
386/L-03,嘁,,qī,二级,14,［嘁嘁喳喳］拟声词，形容细碎的说话声：～地说个不停。
386/L-04,期,,qī,一级,12,❶规定的时间或一段时间：定～|分～|过～|学～|～中|～限。//❷量词，用于分期的事物：两～培训班|这份杂志每年出六～。//❸约定时日：不～而遇。//［期货交易］一种非现金、非现货的买卖。双方按约定的条件、时间交割货物、外汇或有价证券等。//❹盼望，希望（〖连〗–望）：～盼|～待|～许|反复试验，以～得到良好的效果。//另见jī。
386/L-05,欺,,qī,一级,12,❶欺骗，蒙混：自～～人。//［欺世盗名］欺骗世人，窃取名誉。//❷欺负，压迫，侮辱（〖连〗–侮）：仗势～人。
386/L-06,攲,,qī,,12,同“欹”。
386/L-07,欹,,qī,三级,12,倾斜，歪向一边：～侧|～倾。//另见yī。
386/R-01,缉,（緝）,qī,一级,12,一针对一针地缝：～鞋口。//另见jī。
386/R-02,漆,,qī,一级,14,❶黏液状涂料的统称。可分为天然漆和人造漆两类。//❷用漆涂。
386/R-03,蹊,,qī,二级,17,［蹊跷］（–qiāo）奇怪，可疑：这事有点儿～。也说“跷蹊”（qiāoqi）。//另见xī。
386/R-04,㬤,,qī,,18,〈方〉//❶东西湿了之后要干未干：雨过天晴，路上渐渐～了。//❷用沙土等吸收水分：地上有水，铺上点儿沙子～一～。
386/R-05,亓,,qí,二级,4,姓。
386/R-06,𨙸,,qí,三级,6,❶古地名，在今陕西省岐山县东北。//❷姓。
386/R-07,岐,,qí,二级,7,❶岐山，山名，又地名，在陕西省。//❷旧同“歧”。
386/R-08,歧,,qí,一级,8,❶岔道，大路分出的小路：～路亡羊。//［歧途］比喻错误的道路：误入～。//❷不相同，不一致：～视|～义。
386/R-09,跂,,qí,三级,11,多生出的脚趾。//另见qǐ。
