页序,词条,繁体异体,拼音,字级,笔画数,释义
574/L-02,苡,,yǐ,二级,7,见“薏”字条“薏苡”（yì–）。
574/L-03,佁,,yǐ,三级,7,❶痴呆的样子。//❷静止的样子。
574/L-04,尾,,yǐ,一级,7,（–儿）//❶马尾（wěi）上的长毛：马～罗。//❷蟋蟀等尾部的针状物：三～儿（雌蟋蟀）。//另见wěi。
574/R-01,矣,,yǐ,一级,7,文言助词。1.表示直陈语气，与“了（le）❷”相当：艰难险阻，备尝之～。2.表示感叹语气：大～哉。3.表示命令语气：往～，毋多言！
574/R-02,苢,,yǐ,,8,见“芣”字条“芣苢”（fú–）。
574/R-03,迤,（**迆）,yǐ,二级,8,❶地势斜着延长。//❷介词，表示延伸，向（专指方位）：天安门～东（向东延伸）。//［迤逦］（–lǐ）曲折连绵：沿着蜿蜒的山势～而行。//另见yí。
574/R-04,酏,,yǐ,三级,10,酏剂，含有糖和挥发油或另含有主要药物的酒精溶液的制剂。
574/R-05,蚁,（蟻、**螘）,yǐ,一级,9,蚂蚁：雌～|雄～|工～|兵～。
574/R-06,舣,（艤、**檥）,yǐ,三级,9,停船靠岸。
574/R-07,倚,,yǐ,一级,10,❶靠着：～门。//❷仗恃：～势欺人。//❸偏，歪：不偏不～。
574/R-08,椅,,yǐ,一级,12,（–子）有靠背的坐具。//另见yī。
574/R-09,旖,,yǐ,二级,14,［旖旎］（–nǐ）柔和美丽：风光～。
574/R-10,踦,,yǐ,三级,15,抵住。
575/L-01,𬺈,（齮）,yǐ,三级,16,咬：～龁（hé）。
575/L-02,扆,,yǐ,三级,10,古代一种屏风。
575/L-03,𫖮,（顗）,yǐ,三级,12,安静。古时多用于人名。
575/L-04,乂,,yì,二级,2,治理，安定。
575/L-05,刈,,yì,二级,4,割（草或谷类）：～麦|～除杂草。
575/L-06,艾,,yì,一级,5,治理。//［自怨自艾］本义是悔恨自己的错误，自己改正。现在只指悔恨。//另见ài。
575/L-07,弋,,yì,二级,3,用带着绳子的箭来射鸟：～凫与雁。
575/L-08,杙,,yì,三级,7,小木桩。
575/L-09,𬬩,（釴）,yì,三级,8,❶古代的一种方鼎。//❷姓。
575/L-10,亿,（億）,yì,一级,3,数目，一万万。旧时也指十万。
575/L-11,忆,（憶）,yì,一级,4,❶回想，想念：回～|～苦思甜|～故人。//❷记得：记～力。
575/L-12,义,（義）,yì,一级,3,❶公正合宜的道理或举动（〖连〗正–）：见～勇为|～不容辞。引指合乎正义或公益的：～举。//［义务］1.应尽的责任。2.不要报酬的：～劳动。//❷感情的联系：朋友的情～。//❸意义，意思：定～|字～|歧～。//❹认作亲属的：～父|～子。引人工制造的（人体的某部分）：～齿（假牙）|～肢（假肢）。
575/R-01,议,（議）,yì,一级,5,❶表明意见的言论（〖连〗–论）：提～|建～|无异～。//❷商议，讨论：会～|～定。
575/R-02,艺,（藝）,yì,一级,4,❶才能，技能（〖连〗技–）：手～|～高人胆大。//［艺术］1.用形象来反映现实但比现实更有典型性的社会意识形态，包括音乐、舞蹈、美术、雕塑、文学、曲艺、戏剧、电影等。2.指富有创造性的方式、方法：领导～。//❷限度：贪贿无～。
575/R-03,呓,（囈、**讛）,yì,二级,7,梦话：梦～|～语。
575/R-04,仡,,yì,二级,5,［仡仡］1.强壮勇敢。2.高大。//另见gē。
575/R-05,屹,,yì,一级,6,山势高耸。〖喻〗坚定不可动摇：～立|～然不动。
575/R-06,亦,,yì,一级,6,文言副词，也（表示同样），也是：人云～云|反之～然|～步～趋（比喻自己没有主张，跟着别人走）。
575/R-07,㑊,,yì,三级,8,［解㑊］（xiè–）中医指困倦无力、懒得说话、抑郁不欢的症状。
576/L-01,弈,,yì,二级,9,❶古代称围棋。//❷下棋：对～。
576/L-02,奕,,yì,二级,9,❶大。//❷美丽。//［奕奕］精神焕发的样子：神采～。
576/L-03,衣,,yì,一级,6,穿（衣服），给人穿（衣服）：～布衣|解衣（yī）～我。//另见yī。
576/L-04,裔,,yì,二级,13,❶后裔，后代子孙。//❷边，边远的地方：四～。
576/L-05,异,（*異）,yì,一级,6,❶不相同的：～议|～口同声|求同存～。//❷分开：离～|分居～爨（cuàn）。//❸另外的，别的：～日|～地。//❹特别的：～味|奇才～能。//❺奇怪：惊～|深以为～。
576/L-06,抑,,yì,一级,7,❶压，压制：～制|～扬|～强扶弱。//［抑郁］忧闷。//❷文言连词。1.表示选择，还是：求之欤，～与之欤？2.表示转折，只是。3.表示递进，而且：非惟天时，～亦人谋也。
576/L-07,邑,,yì,一级,7,❶都城，城市：通都大～。//❷县。
576/L-08,挹,,yì,二级,10,❶舀（yǎo），把液体盛出来。//［挹注］〖喻〗从有余的地方取出来，以补不足。//❷牵引，拉。
576/L-09,浥,,yì,二级,10,沾湿。
576/R-01,悒,,yì,二级,10,愁闷，不安（叠）：忧～|～～不乐。
576/R-02,裛,,yì,三级,13,古代指书套。
576/R-03,佚,,yì,二级,7,同“逸”。
576/R-04,泆,,yì,,8,❶放纵。//❷古同“溢❶”。
576/R-05,轶,（軼）,yì,二级,9,❶超过：～群（比一般的强）|～材（突出的才干）。//❷散失：～事（史书没有记载的事）。
576/R-06,昳,,yì,三级,9,［昳丽］美丽：形貌～。//另见dié。
